Experiment,Year,Fold,MSE,R2,MAPE,Intercept,Coeff_INPBELI_PAST,dataset_size,Coeff_birth_year,Coeff_gender,Coeff_birth_municipality_encoded,Coeff_embeddings
Experiment 1: Only INPBELI_PAST,2017.00,mean,8.80e8,0.00,3.02,0.24,-0.00,492.00,nan,nan,nan,nan
Experiment 1: Only INPBELI_PAST,2018.00,mean,7.84e8,0.00,2.81,0.32,0.00,481.00,nan,nan,nan,nan
Experiment 1: Only INPBELI_PAST,2019.00,mean,7.44e8,0.00,2.13,0.31,0.00,487.00,nan,nan,nan,nan
Experiment 1: Only INPBELI_PAST,2020.00,mean,8.00e8,0.00,3.08,0.30,0.00,490.00,nan,nan,nan,nan
Experiment 1: Only INPBELI_PAST,2021.00,mean,8.62e8,0.00,3.73,0.29,-0.01,466.00,nan,nan,nan,nan
Experiment 1: Only INPBELI_PAST,2022.00,mean,8.59e8,0.00,5.15,0.26,0.01,482.00,nan,nan,nan,nan
Experiment 2: INPBELI_PAST and birth_year,2017.00,mean,8.78e8,0.00,2.94,0.24,-0.00,492.00,-0.01,nan,nan,nan
Experiment 2: INPBELI_PAST and birth_year,2018.00,mean,7.83e8,0.00,2.81,0.32,0.00,481.00,0.01,nan,nan,nan
Experiment 2: INPBELI_PAST and birth_year,2019.00,mean,7.44e8,0.00,2.13,0.31,0.00,487.00,-0.00,nan,nan,nan
Experiment 2: INPBELI_PAST and birth_year,2020.00,mean,7.99e8,0.00,3.06,0.30,0.00,490.00,-0.01,nan,nan,nan
Experiment 2: INPBELI_PAST and birth_year,2021.00,mean,8.61e8,0.00,3.72,0.29,-0.01,466.00,0.00,nan,nan,nan
Experiment 2: INPBELI_PAST and birth_year,2022.00,mean,8.58e8,0.01,5.14,0.26,0.01,482.00,-0.00,nan,nan,nan
Experiment 3: INPBELI_PAST and gender,2017.00,mean,8.80e8,0.00,3.01,0.24,-0.00,492.00,nan,0.01,nan,nan
Experiment 3: INPBELI_PAST and gender,2018.00,mean,7.82e8,0.00,2.80,0.33,0.00,481.00,nan,-0.02,nan,nan
Experiment 3: INPBELI_PAST and gender,2019.00,mean,7.40e8,0.01,2.11,0.32,0.00,487.00,nan,-0.03,nan,nan
Experiment 3: INPBELI_PAST and gender,2020.00,mean,8.00e8,0.00,3.08,0.30,0.00,490.00,nan,0.00,nan,nan
Experiment 3: INPBELI_PAST and gender,2021.00,mean,8.60e8,0.00,3.73,0.28,-0.01,466.00,nan,0.01,nan,nan
Experiment 3: INPBELI_PAST and gender,2022.00,mean,8.59e8,0.01,5.13,0.26,0.01,482.00,nan,-0.00,nan,nan
Experiment 4: INPBELI_PAST and birth_municipality,2017.00,mean,2.53e8,0.71,0.66,0.24,-0.00,492.00,nan,nan,0.14,nan
Experiment 4: INPBELI_PAST and birth_municipality,2018.00,mean,2.45e8,0.69,0.96,0.32,0.01,481.00,nan,nan,0.18,nan
Experiment 4: INPBELI_PAST and birth_municipality,2019.00,mean,2.10e8,0.72,0.46,0.31,0.00,487.00,nan,nan,0.18,nan
Experiment 4: INPBELI_PAST and birth_municipality,2020.00,mean,2.47e8,0.69,1.27,0.30,-0.00,490.00,nan,nan,0.17,nan
Experiment 4: INPBELI_PAST and birth_municipality,2021.00,mean,2.45e8,0.72,1.64,0.29,-0.01,466.00,nan,nan,0.18,nan
Experiment 4: INPBELI_PAST and birth_municipality,2022.00,mean,2.27e8,0.74,1.11,0.26,-0.00,482.00,nan,nan,0.16,nan
Experiment 5: All excluding INPBELI_PAST,2017.00,mean,2.51e8,0.71,0.72,0.24,nan,492.00,-0.01,-0.00,0.14,nan
Experiment 5: All excluding INPBELI_PAST,2018.00,mean,2.45e8,0.69,0.97,0.32,nan,481.00,0.01,-0.01,0.18,nan
Experiment 5: All excluding INPBELI_PAST,2019.00,mean,2.10e8,0.72,0.46,0.31,nan,487.00,0.00,0.00,0.18,nan
Experiment 5: All excluding INPBELI_PAST,2020.00,mean,2.47e8,0.69,1.29,0.30,nan,490.00,0.00,0.00,0.17,nan
Experiment 5: All excluding INPBELI_PAST,2021.00,mean,2.46e8,0.72,1.66,0.29,nan,466.00,0.00,0.00,0.18,nan
