task,model,lr,batch,config
preFer,medium-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/medium-random/lr3e-05_bs8.json
preFer,medium-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/medium-random/lr1e-05_bs8.json
preFer,medium-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/medium-random/lr5e-06_bs8.json
preFer,BASE-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/BASE-random/lr3e-05_bs8.json
preFer,BASE-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/BASE-random/lr1e-05_bs8.json
preFer,BASE-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/BASE-random/lr5e-06_bs8.json
preFer,BASE-event,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/BASE-event/lr3e-05_bs8.json
preFer,BASE-event,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/BASE-event/lr1e-05_bs8.json
preFer,BASE-event,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/BASE-event/lr5e-06_bs8.json
preFer,cceff-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/cceff-random/lr3e-05_bs8.json
preFer,cceff-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/cceff-random/lr1e-05_bs8.json
preFer,cceff-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/cceff-random/lr5e-06_bs8.json
preFer,ccall-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/ccall-random/lr3e-05_bs8.json
preFer,ccall-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/ccall-random/lr1e-05_bs8.json
preFer,ccall-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/preFer/ccall-random/lr5e-06_bs8.json
partnership-after-2020,medium-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/medium-random/lr3e-05_bs8.json
partnership-after-2020,medium-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/medium-random/lr1e-05_bs8.json
partnership-after-2020,medium-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/medium-random/lr5e-06_bs8.json
partnership-after-2020,BASE-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/BASE-random/lr3e-05_bs8.json
partnership-after-2020,BASE-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/BASE-random/lr1e-05_bs8.json
partnership-after-2020,BASE-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/BASE-random/lr5e-06_bs8.json
partnership-after-2020,BASE-event,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/BASE-event/lr3e-05_bs8.json
partnership-after-2020,BASE-event,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/BASE-event/lr1e-05_bs8.json
partnership-after-2020,BASE-event,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/BASE-event/lr5e-06_bs8.json
partnership-after-2020,cceff-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/cceff-random/lr3e-05_bs8.json
partnership-after-2020,cceff-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/cceff-random/lr1e-05_bs8.json
partnership-after-2020,cceff-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/cceff-random/lr5e-06_bs8.json
partnership-after-2020,ccall-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/ccall-random/lr3e-05_bs8.json
partnership-after-2020,ccall-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/ccall-random/lr1e-05_bs8.json
partnership-after-2020,ccall-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/partnership-after-2020/ccall-random/lr5e-06_bs8.json
INPA2023TABV1,medium-random,2.5e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/INPA2023TABV1/medium-random/lr3e-05_bs8.json
INPA2023TABV1,medium-random,1e-05,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/INPA2023TABV1/medium-random/lr1e-05_bs8.json
INPA2023TABV1,medium-random,5e-06,8,/Users/tanzir5/Documents/GitHub/life-sequencing-dutch/generated_configs_ft/INPA2023TABV1/medium-random/lr5e-06_bs8.json
